Rk,Season,Player,First_Name,Last_Name,G,RushingAtt,RushingYds,RushingAvg,RushingTD,ReceivingRec,ReceivingYds,ReceivingAvg,ReceivingTD,ScrimmagePlays,ScrimmageYds,ScrimmageAvg,ScrimmageTD
1,1924,Jimmy Crowley,Jimmy,Crowley,10,133,742,5.6,6,11,274,24.9,2,144,1016,7.1,8
2,1924,Don Miller,Don,Miller,9,125,794,6.4,5,19,346,18.2,2,144,1140,7.9,7
3,1924,Elmer Layden,Elmer,Layden,9,120,445,3.7,6,,,,,120,445,3.7,6
4,1924,Bernie Livergood,Bernie,Livergood,10,53,229,4.3,2,1,22,22,1,54,251,4.6,3
5,1924,Doc Connell,Doc,Connell,10,46,268,5.8,1,4,65,16.3,0,50,333,6.7,1
6,1924,Bill Cerney,Bill,Cerney,10,40,118,3,3,,,,,40,118,3,3
7,1924,Harry O'Boyle,Harry,O'Boyle,10,20,203,10.2,2,,,,,20,203,10.2,2
8,1924,Harry Stuhldreher,Harry,Stuhldreher,9,20,19,1,2,6,42,7,0,26,61,2.3,2
9,1924,John Roach,John,Roach,10,10,67,6.7,2,1,3,3,1,11,70,6.4,3
10,1924,Eddie Scharer,Eddie,Scharer,10,10,-1,-0.1,0,,,,,10,-1,-0.1,0
11,1924,Tom Hearden,Tom,Hearden,10,8,29,3.6,0,,,,,8,29,3.6,0
12,1924,Max Houser,Max,Houser,10,7,35,5,0,1,8,8,0,8,43,5.4,0
13,1924,Red Edwards,Red,Edwards,10,6,-1,-0.2,0,,,,,6,-1,-0.2,0
14,1924,Frank Reese,Frank,Reese,10,3,3,1,0,,,,,3,3,1,0
15,1924,Gerry Miller,Gerry,Miller,10,2,4,2,0,1,18,18,0,3,22,7.3,0
16,1924,Joe Prelli,Joe,Prelli,10,1,3,3,0,,,,,1,3,3,0
17,1924,Bernie Coughlin,Bernie,Coughlin,10,1,3,3,0,,,,,1,3,3,0
18,1924,Wilbur Eaton,Wilbur,Eaton,10,,,,,1,30,30,0,1,30,30,0
19,1924,Chuck Collins,Chuck,Collins,10,,,,,1,20,20,0,1,20,20,0
20,1924,Clem Crowe,Clem,Crowe,10,,,,,1,15,15,0,1,15,15,0
1,1930,Marchy Schwartz,Marchy,Schwartz,10,123,928,7.5,9,1,4,4,0,124,932,7.5,9
2,1930,Marty Brill,Marty,Brill,10,84,449,5.3,6,2,27,13.5,0,86,476,5.5,6
3,1930,Joe Savoldi,Joe,Savoldi,6,67,440,6.6,6,,,,,67,440,6.6,6
4,1930,Larry Mullins,Larry,Mullins,8,51,230,4.5,3,,,,,51,230,4.5,3
5,1930,Bucky O'Connor,Bucky,O'Connor,9,46,294,6.4,3,,,,,46,294,6.4,3
6,1930,Mike Koken,Mike,Koken,6,42,106,2.5,2,,,,,42,106,2.5,2
7,1930,Dan Hanley,Dan,Hanley,4,24,167,7,2,1,12,12,0,25,179,7.2,2
8,1930,Bernie Leahy,Bernie,Leahy,4,16,43,2.7,0,,,,,16,43,2.7,0
9,1930,Clarence Kaplan,Clarence,Kaplan,5,13,113,8.7,0,,,,,13,113,8.7,0
10,1930,Frank Carideo,Frank,Carideo,10,13,45,3.5,1,4,63,15.8,1,17,108,6.4,2
11,1930,Fred Staab,Fred,Staab,3,12,43,3.6,1,,,,,12,43,3.6,1
12,1930,Joe Sheeketski,Joe,Sheeketski,1,9,37,4.1,0,,,,,9,37,4.1,0
13,1930,Nick Lukats,Nick,Lukats,2,8,24,3,1,,,,,8,24,3,1
14,1930,Al Howard,Al,Howard,3,6,8,1.3,0,,,,,6,8,1.3,0
15,1930,Ed Kosky,Ed,Kosky,10,5,64,12.8,0,4,79,19.8,1,9,143,15.9,1
16,1930,Johnny O'Brien,Johnny,O'Brien,10,3,29,9.7,0,2,19,9.5,0,5,48,9.6,0
17,1930,Carl Cronin,Carl,Cronin,4,3,24,8,0,,,,,3,24,8,0
18,1930,Paul Host,Paul,Host,10,2,-2,-1,0,1,13,13,0,3,11,3.7,0
19,1930,Ray Bailie,Ray,Bailie,10,1,5,5,0,,,,,1,5,5,0
20,1930,Tom Conley,Tom,Conley,10,,,,,3,116,38.7,1,3,116,38.7,1
21,1930,Chuck Jaskwhich,Chuck,Jaskwhich,6,,,,,1,2,2,0,1,2,2,0
1,1941,Fred Evans,Fred,Evans,9,141,480,3.4,,9,132,14.7,,150,612,4.1,0
2,1941,Steve Juzwik,Steve,Juzwik,9,101,376,3.7,,17,305,17.9,,118,681,5.8,0
3,1941,Creighton Miller,Creighton,Miller,9,59,183,3.1,,,,,,59,183,3.1,0
4,1941,Angelo Bertelli,Angelo,Bertelli,9,41,56,1.4,,,,,,41,56,1.4,0
5,1941,Bill Earley,Bill,Earley,9,30,51,1.7,,5,106,21.2,,35,157,4.5,0
6,1941,John Warner,John,Warner,9,24,86,3.6,,,,,,24,86,3.6,0
7,1941,Don Hogan,Don,Hogan,9,10,15,1.5,,,,,,10,15,1.5,0
8,1941,Edward McNeill,Edward,McNeill,9,6,15,2.5,,,,,,6,15,2.5,0
9,1941,Richard Creevey,Richard,Creevey,9,3,19,6.3,,,,,,3,19,6.3,0
10,1941,Tom Miller,Tom,Miller,9,1,1,1,,2,68,34,,3,69,23,0
11,1941,Robert Dove,Robert,Dove,9,,,,,15,187,12.5,,15,187,12.5,0
12,1941,George Murphy,George,Murphy,9,,,,,13,130,10,,13,130,10,0
13,1941,Harry Wright,Harry,Wright,9,,,,,9,108,12,,9,108,12,0
14,1941,Matthew Bolger,Matthew,Bolger,9,,,,,8,135,16.9,,8,135,16.9,0
15,1941,John Kovatch,John,Kovatch,9,,,,,3,41,13.7,,3,41,13.7,0
1,1943,Creighton Miller,Creighton,Miller,10,151,911,6,,,,,,151,911,6,0
2,1943,Jim Mello,Jim,Mello,10,137,714,5.2,,,,,,137,714,5.2,0
3,1943,Julius Rykovich,Julius,Rykovich,10,66,339,5.1,,,,,,66,339,5.1,0
4,1943,Victor Kulbitski,Victor,Kulbitski,10,48,265,5.5,,,,,,48,265,5.5,0
5,1943,Johnny Lujack,Johnny,Lujack,10,46,191,4.2,,,,,,46,191,4.2,0
6,1943,Robert Hanlon,Robert,Hanlon,10,40,142,3.6,,,,,,40,142,3.6,0
7,1943,Bob Kelly,Bob,Kelly,10,38,119,3.1,,,,,,38,119,3.1,0
8,1943,Fred Earley,Fred,Earley,10,22,121,5.5,,,,,,22,121,5.5,0
9,1943,Robert Palladino,Robert,Palladino,10,20,190,9.5,,,,,,20,190,9.5,0
10,1943,Ray Davis,Ray,Davis,10,18,55,3.1,,,,,,18,55,3.1,0
11,1943,Angelo Bertelli,Angelo,Bertelli,10,14,22,1.6,,,,,,14,22,1.6,0
12,1943,Chick Mazzioli,Chick,Mazzioli,10,4,34,8.5,,,,,,4,34,8.5,0
13,1943,Ed Krupa,Ed,Krupa,10,4,13,3.3,,,,,,4,13,3.3,0
14,1943,Al Skat,Al,Skat,10,1,15,15,,,,,,1,15,15,0
15,1943,Frank Dancewicz,Frank,Dancewicz,10,1,6,6,,,,,,1,6,6,0
1,1944,Bob Kelly,Bob,Kelly,10,133,676,5.1,,,,,,133,676,5.1,0
2,1944,Frank Dancewicz,Frank,Dancewicz,10,69,230,3.3,,,,,,69,230,3.3,0
3,1944,Elmer Angsman,Elmer,Angsman,10,58,273,4.7,,,,,,58,273,4.7,0
4,1944,Jim Brennan,Jim,Brennan,10,38,231,6.1,,,,,,38,231,6.1,0
5,1944,Chick Maggioli,Chick,Maggioli,10,34,185,5.4,,,,,,34,185,5.4,0
6,1944,Nunzio Marino,Nunzio,Marino,10,33,162,4.9,,,,,,33,162,4.9,0
7,1944,Marty Wendell,Marty,Wendell,10,31,82,2.6,,,,,,31,82,2.6,0
8,1944,Steve Nemeth,Steve,Nemeth,10,28,164,5.9,,,,,,28,164,5.9,0
9,1944,George Terlep,George,Terlep,10,23,110,4.8,,,,,,23,110,4.8,0
10,1944,Joe Gasparella,Joe,Gasparella,10,21,97,4.6,,,,,,21,97,4.6,0
11,1944,John Corbisiero,John,Corbisiero,10,11,58,5.3,,,,,,11,58,5.3,0
12,1944,Art Fitzgerald,Art,Fitzgerald,10,5,26,5.2,,,,,,5,26,5.2,0
13,1944,Jim McGurk,Jim,McGurk,10,3,15,5,,,,,,3,15,5,0
14,1944,Ed Clasby,Ed,Clasby,10,2,10,5,,,,,,2,10,5,0
15,1944,Frank Ruggerio,Frank,Ruggerio,10,2,9,4.5,,,,,,2,9,4.5,0
16,1944,John LeBrou,John,LeBrou,10,2,2,1,,,,,,2,2,1,0
17,1944,Bill Chandler,Bill,Chandler,10,2,2,1,,,,,,2,2,1,0
1,1945,Elmer Angsman,Elmer,Angsman,10,87,616,7.1,,,,,,87,616,7.1,0
2,1945,Frank Ruggerio,Frank,Ruggerio,10,79,279,3.5,,,,,,79,279,3.5,0
3,1945,Phil Colella,Phil,Colella,10,63,317,5,,,,,,63,317,5,0
4,1945,Terry Brennan,Terry,Brennan,10,57,252,4.4,,,,,,57,252,4.4,0
5,1945,Bill Gompers,Bill,Gompers,10,36,185,5.1,,,,,,36,185,5.1,0
6,1945,Emil Slovak,Emil,Slovak,10,24,92,3.8,,,,,,24,92,3.8,0
7,1945,John Agnone,John,Agnone,10,22,131,6,,,,,,22,131,6,0
8,1945,John Panelli,John,Panelli,10,18,115,6.4,,,,,,18,115,6.4,0
9,1945,Bill Zehler,Bill,Zehler,10,15,122,8.1,,,,,,15,122,8.1,0
10,1945,Floyd Simmons,Floyd,Simmons,10,14,42,3,,,,,,14,42,3,0
11,1945,Joe Yonto,Joe,Yonto,10,13,53,4.1,,,,,,13,53,4.1,0
12,1945,Frank Dancewicz,Frank,Dancewicz,10,12,12,1,,,,,,12,12,1,0
13,1945,Jim McGurk,Jim,McGurk,10,11,29,2.6,,,,,,11,29,2.6,0
14,1945,Stan Krivik,Stan,Krivik,10,9,39,4.3,,,,,,9,39,4.3,0
15,1945,George Ratterman,George,Ratterman,10,8,8,1,,,,,,8,8,1,0
16,1945,Bob Van Sumner,Bob,Van Sumner,10,7,13,1.9,,,,,,7,13,1.9,0
17,1945,Leon Traney,Leon,Traney,10,4,37,9.3,,,,,,4,37,9.3,0
18,1945,Coy McGee,Coy,McGee,10,3,29,9.7,,,,,,3,29,9.7,0
19,1945,Dick Heman,Dick,Heman,10,3,3,1,,,,,,3,3,1,0
20,1945,Joe Gasparella,Joe,Gasparella,10,2,10,5,,,,,,2,10,5,0
21,1945,Frank Tripucka,Frank,Tripucka,10,2,8,4,,,,,,2,8,4,0
22,1945,Tom Potter,Tom,Potter,10,2,6,3,,,,,,2,6,3,0
23,1945,Fred Earley,Fred,Earley,10,1,3,3,,,,,,1,3,3,0
